,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm),Total Loss Given Failure,Expected Loss Value
0,SOAD02091,Lyndrassia,Yes,Recreation,Earth,13.921,0.2,67700.0,1981.0,1989.0,0.04728,2.1306319999998777,Uncontrolled,3.0,16.43,High,Not Rated,2010.8,0.0998,11.5,203.0,5.6,220.1,20.04439632669091
1,SOAD02227,Lyndrassia,Yes,Recreation,Earth,14.332,0.127,48400.0,1998.0,1995.0,0.06107,5.326579999999922,Uncontrolled,3.0,3.323999999999998,High,Unsatisfactory,2007.4,0.1283,11.5,733.7,8.2,753.4000000000001,80.76375340968372
2,SOAD02335,Lyndrassia,Yes,Recreation,Earth,12.526,0.17,86000.0,1976.0,1991.0,0.04137,14.914423999999826,Uncontrolled,3.0,0.0,High,Unsatisfactory,2007.0,0.1394,7.3,248.5,9.5,265.3,30.00448904708028
3,SOAD03530,Lyndrassia,Yes,Water Supply,Earth,26.547,0.933,1081097.6,1964.0,1989.0,19.1484,931.086184,Uncontrolled,5.0,7.06,High,Missing,2021.2,0.0853,814.7,277.8,53.4,1145.9,95.42627987861634
4,SOAD06421,Lyndrassia,Yes,Recreation,Earth,18.441,0.15,40860.0,2001.0,1999.0,0.0453099999999999,322.25809,Missing,3.0,8.09,High,Not Rated,2014.2,0.0837,27.3,278.2,8.1,313.6,26.63922419548035
5,SOAD07546,Lyndrassia,Yes,Missing,Missing,16.22,0.283,0.0,1985.0,2009.0,7.098698000000001,353.68491200000017,Missing,3.0,16.374000000000002,High,Missing,2019.0,0.0736,615.9,700.1,17.52,1333.52,97.97951200008393
6,SOAD07707,Lyndrassia,Yes,Tailings,Missing,0.0,0.2683999999999999,0.0,1956.0,2007.0,2.16503,239.16344200000003,Missing,4.0,2.187999999999999,High,Satisfactory,2018.0,0.1036,120.3,918.2,20.16,1058.66,95.50981728196145
7,SOAD10407,Lyndrassia,Yes,Missing,Missing,16.57,0.6254,1340272.6,1990.0,1993.0,2.544452,4.261263999999983,Uncontrolled,4.0,8.69,High,Satisfactory,2020.0,0.0927,651.7,425.6,45.6,1122.9,84.53503626286984
8,SOAD10567,Lyndrassia,Yes,Missing,Earth,35.081,0.3242,0.0,1967.0,1998.0,0.3356879999999997,3.7286059999999,Missing,0.0,2.35,Significant,Satisfactory,2011.0,0.114,230.5,534.4,28.24,793.14,74.58685521930457
9,SOAD11302,Lyndrassia,Yes,Recreation,Earth,14.782,0.153,25600.00000000003,1996.0,1992.0,0.04925,3.1959479999998166,Uncontrolled,3.0,5.972,High,Unsatisfactory,2010.0,0.1387,30.2,611.4,5.5,647.1,74.05195542946458
10,SOAD11500,Lyndrassia,Yes,Missing,Earth,15.276,0.2176,52647.4,1984.0,2000.0,0.14381,2.663289999999733,Missing,2.0,6.58,High,Unsatisfactory,2009.6,0.1316,6.8,320.1,4.520000000000003,331.42,35.93352665141225
11,SOAD12360,Lyndrassia,Yes,Recreation,Earth,16.119,0.4,89060.00000000001,1982.0,1998.0,0.04728,4.261263999999983,Uncontrolled,2.0,0.0,High,Unsatisfactory,2019.6,0.1421,30.9,948.3,6.5,985.7,110.04819564521313
12,SOAD12606,Lyndrassia,Yes,Irrigation,Earth,15.807,0.317,99399.0,2003.0,1998.0,0.44916,21.306319999999918,Uncontrolled,3.0,87.32,High,Not Rated,2016.2,0.1011,141.8,215.8,26.2,383.8,32.549047105014324
13,SOAD12607,Lyndrassia,Yes,Recreation,Earth,17.347,0.1994,56000.0,1989.0,1990.0,0.06895,3.7286059999999,Uncontrolled,3.0,3.323999999999998,High,Unsatisfactory,2007.0,0.1338,7.6,732.8,4.3,744.6999999999999,77.68367847204208
14,SOAD13714,Lyndrassia,Yes,Recreation,Earth,14.26,0.167,69200.00000000003,1988.0,1994.0,0.06304,3.1959479999998166,Uncontrolled,3.0,10.264,High,Unsatisfactory,2010.0,0.1413,39.5,576.5,3.6,619.6,68.16162699759006
